iter	Passed	Remaining
0	1	109
1	2	108
2	3	101
3	4	99
4	5	98
5	6	96
6	7	94
7	8	92
8	8	89
9	9	86
10	10	83
11	11	86
12	12	84
13	13	82
14	14	81
15	15	80
16	16	78
17	17	77
18	17	76
19	18	75
20	19	73
21	20	72
22	21	70
23	22	69
24	22	68
25	23	67
26	24	66
27	25	65
28	26	64
29	27	63
30	27	62
31	28	61
32	29	60
33	30	59
34	31	58
35	32	57
36	33	56
37	33	55
38	35	54
39	36	54
40	36	53
41	37	51
42	38	50
43	38	49
44	39	48
45	40	47
46	41	47
47	42	46
48	43	45
49	44	44
50	45	43
51	45	42
52	46	41
53	47	40
54	48	39
55	48	38
56	49	37
57	50	36
58	51	35
59	52	34
60	53	34
61	54	33
62	55	32
63	56	31
64	57	30
65	57	29
66	58	28
67	59	28
68	60	27
69	61	26
70	62	25
71	63	24
72	63	23
73	64	22
74	65	21
75	66	21
76	67	20
77	68	19
78	69	18
79	70	17
80	70	16
81	71	15
82	72	14
83	73	13
84	74	13
85	75	12
86	76	11
87	77	10
88	77	9
89	78	8
90	79	7
91	80	7
92	81	6
93	82	5
94	83	4
95	84	3
96	85	2
97	85	1
98	87	0
99	87	0
